"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,";"buzzardLabel";8;"";;;
2;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
3;"R4";"0402R";1;"1k";;;
4;"JP1";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
5;"D2";"0402LED";1;"purple";;;
6;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
7;"K4,K3,K6,K5";"HEADER_MALE_1X1";4;"HEADER_MALE_1X1";;;
8;"L1";"CMLF0504-330KTT";1;"CMLF0504-330KTT";;;
9;"C3,C1";"ELECTROLITIC_CAP_8x8x14.5";2;"VKMD1451K101MV";;;
10;"R1";"1206R";1;"KDV12FR150ET";;;
11;"K2,K1";"2P_TERMINAL_3.5MM";2;"2P_TERMINAL_3.5MM";;;
12;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
13;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
14;"D1";"SMA_DIODE";1;"SS36A";;;
15;"R2";"0603R";1;"3.3k";;;
16;"R3";"tc33x-2-103e";1;"tc33x-2-104e";;;
17;"U1";"SOIC−8";1;"MC34063ADR";;;
18;"C2";"0603C";1;"470pF";;;
19;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
20;"";"Version1.0.0.";1;"";;;
